id	cond	bioproject	source	Place 
ERR2442719	SB1	PRJEB25720	Grape	NS
ERR2442720	SB2	PRJEB25721	Grape	NS
ERR2442721	SB3	PRJEB25722	Grape	NS
ERR2442722	SB4	PRJEB25723	Grape	NS
ERR2442723	SB5	PRJEB25724	Grape	NS
ERR2442724	Soil1	PRJEB25725	Soil	NS
ERR2442725	Soil2	PRJEB25726	Soil	NS
ERR2442726	Soil3	PRJEB25727	Soil	NS
ERR2442727	Soil4	PRJEB25728	Soil	NS
ERR2442728	Soil5	PRJEB25729	Soil	NS
